valid_time,sshf,u10,v10,latitude,longitude,classification_hf,wind_dir,dir_bin
2023-01-03 05:00:00,-80192.0,7.1367188,1.0996094,54.75,6.5,unstable,261.24087688855684,10
2023-01-03 06:00:00,-78400.0,6.2265625,1.7724609,54.75,6.5,unstable,254.1104019564222,9
2023-01-03 07:00:00,-56896.0,5.65625,3.015625,54.75,6.5,unstable,241.93572869063405,9
2023-01-03 08:00:00,-58816.0,5.3945312,4.21875,54.75,6.5,unstable,231.97309907694165,9
2023-01-03 09:00:00,-62624.0,5.21875,5.390625,54.75,6.5,unstable,224.071872685218,8
2023-01-03 10:00:00,-60448.0,4.6523438,6.1523438,54.75,6.5,unstable,217.0962244453766,8
2023-01-03 11:00:00,-50848.0,4.7578125,7.0195312,54.75,6.5,unstable,214.12927551346556,8
2023-01-03 12:00:00,-46976.0,3.015625,8.1875,54.75,6.5,unstable,200.21979214724098,8
2023-01-03 13:00:00,-64064.0,1.5761719,9.1015625,54.75,6.5,unstable,189.82481037635827,7
2023-01-03 14:00:00,-88000.0,1.4833984,9.921875,54.75,6.5,unstable,188.50318713357834,7
2023-01-03 15:00:00,-95552.0,1.8300781,10.4921875,54.75,6.5,unstable,189.8941612520474,7
2023-01-03 16:00:00,-75200.0,1.9570312,11.0078125,54.75,6.5,unstable,190.08103571612088,7
2023-01-03 17:00:00,-50144.0,1.9697266,11.4140625,54.75,6.5,unstable,189.79110737043547,7
2023-01-03 18:00:00,-45120.0,1.2792969,12.8984375,54.75,6.5,unstable,185.6642033918938,7
2023-01-03 19:00:00,-48384.0,0.59765625,13.65625,54.75,6.5,unstable,182.50591074890048,7
2023-01-03 20:00:00,-47840.0,0.43066406,12.7421875,54.75,6.5,unstable,181.93576210971304,7
2023-01-03 21:00:00,-38432.0,1.6767578,12.7265625,54.75,6.5,unstable,187.50563810686316,7
2023-01-03 22:00:00,-30016.0,1.5732422,12.8515625,54.75,6.5,unstable,186.97921911133164,7
2023-01-03 23:00:00,-10144.0,1.296875,12.8046875,54.75,6.5,unstable,185.7832683443428,7
2023-01-04 00:00:00,25360.0,2.4511719,13.4453125,54.75,6.5,stable,190.33194404463427,7
2023-01-04 01:00:00,50016.0,3.9785156,13.40625,54.75,6.5,stable,196.52908419604987,8
2023-01-04 02:00:00,66048.0,5.8242188,14.9140625,54.75,6.5,stable,201.33156987237956,8
2023-01-04 03:00:00,65728.0,6.7265625,13.828125,54.75,6.5,stable,205.94017310953802,8
2023-01-04 04:00:00,70016.0,8.765625,11.0078125,54.75,6.5,stable,218.5306408437326,8
2023-01-04 05:00:00,111168.0,10.7578125,8.8359375,54.75,6.5,stable,230.60200140869787,9
2023-01-04 06:00:00,147712.0,12.2890625,7.6445312,54.75,6.5,stable,238.11591931885516,9
2023-01-04 07:00:00,168704.0,12.59375,7.6015625,54.75,6.5,stable,238.88490238571455,9
2023-01-04 08:00:00,172160.0,12.0078125,7.515625,54.75,6.5,stable,237.95777279052686,9
2023-01-04 09:00:00,167936.0,12.4296875,6.7148438,54.75,6.5,stable,241.62091694648143,9
2023-01-04 10:00:00,179584.0,13.203125,6.0742188,54.75,6.5,stable,245.29477146947602,9
2023-01-04 11:00:00,174464.0,13.09375,5.859375,54.75,6.5,stable,245.89176892338645,9
2023-01-04 12:00:00,151168.0,12.84375,5.8398438,54.75,6.5,stable,245.54948089166976,9
2023-01-04 13:00:00,124992.0,13.6171875,4.8554688,54.75,6.5,stable,250.37533444025814,9
2023-01-04 14:00:00,133376.0,13.65625,4.1445312,54.75,6.5,stable,253.11749661132484,9
2023-01-04 15:00:00,134912.0,13.4375,4.6640625,54.75,6.5,stable,250.8584689087101,9
2023-01-04 16:00:00,130496.0,13.75,5.0273438,54.75,6.5,stable,249.91632407548866,9
2023-01-04 17:00:00,123072.0,14.125,4.5976562,54.75,6.5,stable,251.97004596740967,9
2023-01-04 18:00:00,111936.0,14.3828125,3.4902344,54.75,6.5,stable,256.3598672853491,10
2023-01-04 19:00:00,118848.0,14.90625,1.4189453,54.75,6.5,stable,264.56232510948996,10
2023-01-04 20:00:00,103296.0,14.2109375,-1.5507812,54.75,6.5,stable,276.2278097339522,10
2023-01-04 21:00:00,73280.0,13.2109375,-2.0039062,54.75,6.5,stable,278.6251829661978,10
2023-01-04 22:00:00,49536.0,13.0859375,-2.7226562,54.75,6.5,stable,281.75326211289195,10
2023-01-04 23:00:00,31312.0,13.15625,-2.6835938,54.75,6.5,stable,281.5289546793576,10
2023-01-05 00:00:00,22032.0,12.609375,-2.8046875,54.75,6.5,stable,282.5400834462494,10
2023-01-05 01:00:00,14408.0,12.75,-2.6035156,54.75,6.5,stable,281.54098288405805,10
2023-01-05 02:00:00,12224.0,12.9140625,-2.9375,54.75,6.5,stable,282.81475266394057,10
2023-01-05 03:00:00,11504.0,13.015625,-3.6972656,54.75,6.5,stable,285.8579196600823,11
2023-01-05 04:00:00,10544.0,12.3359375,-4.28125,54.75,6.5,stable,289.13959175659664,11
2023-01-05 05:00:00,8188.0,11.7734375,-4.6914062,54.75,6.5,stable,291.72598561750715,11
2023-01-05 06:00:00,4576.0,10.78125,-5.203125,54.75,6.5,stable,295.76236072511324,11
2023-01-05 07:00:00,1135.0,9.4140625,-5.453125,54.75,6.5,stable,300.08170127440496,11
2023-01-05 08:00:00,-4196.0,7.9726562,-5.0429688,54.75,6.5,unstable,302.31470691250263,11
2023-01-05 09:00:00,-6976.0,6.875,-4.1640625,54.75,6.5,unstable,301.2025273598498,11
2023-01-05 10:00:00,-6788.0,7.2109375,-3.1855469,54.75,6.5,unstable,293.83421091940085,11
2023-01-05 11:00:00,-4928.0,7.3398438,-2.3554688,54.75,6.5,unstable,287.7922349062128,11
2023-01-05 12:00:00,-3864.0,7.0976562,-1.5634766,54.75,6.5,unstable,282.4227574852796,10
2023-01-05 13:00:00,-3880.0,7.1835938,-0.65966797,54.75,6.5,unstable,275.2467448013158,10
2023-01-05 14:00:00,-5216.0,6.6367188,-0.074401855,54.75,6.5,unstable,270.6422953625152,10
2023-01-05 15:00:00,-6032.0,5.375,0.58984375,54.75,6.5,unstable,263.73751289346393,10
2023-01-05 16:00:00,-7632.0,4.203125,1.7949219,54.75,6.5,unstable,246.87535578906153,9
2023-01-05 17:00:00,-5000.0,2.3808594,3.1425781,54.75,6.5,unstable,217.14805837867476,8
2023-01-05 18:00:00,-2438.0,0.31591797,4.9375,54.75,6.5,unstable,183.6609875643417,7
2023-01-05 19:00:00,-4404.0,-0.39257812,6.4609375,54.75,6.5,unstable,176.52288090843766,7
2023-01-05 20:00:00,-4556.0,-0.45288086,7.3125,54.75,6.5,unstable,176.45605986558712,7
2023-01-05 21:00:00,-2572.0,-0.6894531,7.8828125,54.75,6.5,unstable,175.00146883693205,7
2023-01-05 22:00:00,-186.0,-0.117492676,9.625,54.75,6.5,unstable,179.30062336472164,7
2023-01-05 23:00:00,-2332.0,1.5185547,9.4921875,54.75,6.5,unstable,189.08912749235424,7
2023-01-06 00:00:00,23344.0,3.6640625,8.8125,54.75,6.5,stable,202.576571123766,8
2023-01-06 01:00:00,51008.0,5.1328125,9.125,54.75,6.5,stable,209.35775354279127,8
2023-01-06 02:00:00,55168.0,6.8867188,9.5859375,54.75,6.5,stable,215.69418128721713,8
2023-01-06 03:00:00,57664.0,7.4765625,9.9609375,54.75,6.5,stable,216.8914617319591,8
2023-01-06 04:00:00,63296.0,7.5625,10.7109375,54.75,6.5,stable,215.22415549480985,8
2023-01-06 05:00:00,73088.0,7.8320312,11.34375,54.75,6.5,stable,214.6222462478276,8
2023-01-06 06:00:00,78912.0,9.015625,9.8671875,54.75,6.5,stable,222.41786869975058,8
2023-01-06 07:00:00,83712.0,12.0546875,1.7988281,54.75,6.5,stable,261.51281820693214,10
2023-01-06 08:00:00,52480.0,11.3203125,1.1474609,54.75,6.5,stable,264.2120960834713,10
2023-01-06 09:00:00,46336.0,12.0390625,2.640625,54.75,6.5,stable,257.6287602112929,10
2023-01-06 10:00:00,41152.0,11.140625,3.8242188,54.75,6.5,stable,251.05429979268638,9
2023-01-06 11:00:00,37664.0,10.921875,5.4375,54.75,6.5,stable,243.53339508259427,9
2023-01-06 12:00:00,36960.0,11.5078125,6.1445312,54.75,6.5,stable,241.90026511733635,9
2023-01-06 13:00:00,35360.0,11.3515625,6.1210938,54.75,6.5,stable,241.6651583017143,9
2023-01-06 14:00:00,29936.0,11.0859375,5.484375,54.75,6.5,stable,243.67772609668884,9
2023-01-06 15:00:00,28256.0,10.703125,5.0585938,54.75,6.5,stable,244.70328263374944,9
2023-01-06 16:00:00,25280.0,10.5625,5.3671875,54.75,6.5,stable,243.06323267300252,9
2023-01-06 17:00:00,21504.0,10.015625,5.6992188,54.75,6.5,stable,240.35870559742972,9
2023-01-06 18:00:00,17824.0,9.1328125,5.875,54.75,6.5,stable,237.24743688842014,9
2023-01-06 19:00:00,26496.0,8.5703125,5.765625,54.75,6.5,stable,236.06954882251085,9
2023-01-06 20:00:00,28384.0,8.2265625,5.796875,54.75,6.5,stable,234.82943209676733,9
2023-01-06 21:00:00,30080.0,7.375,5.953125,54.75,6.5,stable,231.0894136738698,9
2023-01-06 22:00:00,30064.0,5.9960938,6.1484375,54.75,6.5,stable,224.2813067022995,8
2023-01-06 23:00:00,27968.0,4.6757812,6.6914062,54.75,6.5,stable,214.94485201053166,8
2023-01-07 00:00:00,25920.0,3.3085938,7.8515625,54.75,6.5,stable,202.85021911688375,8
2023-01-07 01:00:00,23424.0,2.6953125,8.7265625,54.75,6.5,stable,197.16398473162175,8
