valid_time,sshf,u10,v10,latitude,longitude
2023-01-01 00:00:00,220544.0,11.15625,9.25,54.75,6.5
2023-01-01 01:00:00,273408.0,12.8828125,8.875,54.75,6.5
2023-01-01 02:00:00,276480.0,12.1875,7.828125,54.75,6.5
2023-01-01 03:00:00,249856.0,11.921875,7.859375,54.75,6.5
2023-01-01 04:00:00,224128.0,11.203125,7.5507812,54.75,6.5
2023-01-01 05:00:00,196480.0,10.1171875,7.8632812,54.75,6.5
2023-01-01 06:00:00,181888.0,10.3046875,8.296875,54.75,6.5
2023-01-01 07:00:00,112576.0,11.0078125,8.265625,54.75,6.5
2023-01-01 08:00:00,125632.0,11.625,8.5390625,54.75,6.5
2023-01-01 09:00:00,132096.0,12.3046875,8.53125,54.75,6.5
2023-01-01 10:00:00,124096.0,12.6328125,8.3984375,54.75,6.5
2023-01-01 11:00:00,109952.0,11.6875,8.25,54.75,6.5
2023-01-01 12:00:00,98752.0,11.421875,8.8984375,54.75,6.5
2023-01-01 13:00:00,90304.0,11.2265625,8.5234375,54.75,6.5
2023-01-01 14:00:00,83200.0,11.2578125,7.5859375,54.75,6.5
2023-01-01 15:00:00,79040.0,10.390625,7.28125,54.75,6.5
2023-01-01 16:00:00,73664.0,9.71875,8.0390625,54.75,6.5
2023-01-01 17:00:00,69568.0,9.015625,7.8085938,54.75,6.5
2023-01-01 18:00:00,64000.0,7.7734375,7.7421875,54.75,6.5
2023-01-01 19:00:00,68736.0,7.2734375,7.9921875,54.75,6.5
2023-01-01 20:00:00,64160.0,6.859375,8.328125,54.75,6.5
2023-01-01 21:00:00,62304.0,6.2070312,7.9960938,54.75,6.5
2023-01-01 22:00:00,54144.0,4.7421875,7.2929688,54.75,6.5
2023-01-01 23:00:00,43648.0,3.5097656,7.1835938,54.75,6.5
2023-01-02 00:00:00,30992.0,3.5253906,6.8476562,54.75,6.5
2023-01-02 01:00:00,18784.0,3.1894531,4.8828125,54.75,6.5
2023-01-02 02:00:00,10128.0,3.1503906,2.6582031,54.75,6.5
2023-01-02 03:00:00,4752.0,2.3339844,0.9394531,54.75,6.5
2023-01-02 04:00:00,2168.0,1.9697266,-0.50439453,54.75,6.5
2023-01-02 05:00:00,2068.0,2.0800781,-1.6816406,54.75,6.5
2023-01-02 06:00:00,2224.0,2.2265625,-2.5078125,54.75,6.5
2023-01-02 07:00:00,193.0,2.9921875,-2.9472656,54.75,6.5
2023-01-02 08:00:00,1629.0,3.6503906,-2.6972656,54.75,6.5
2023-01-02 09:00:00,2912.0,4.8984375,-0.65527344,54.75,6.5
2023-01-02 10:00:00,4680.0,6.5351562,1.0302734,54.75,6.5
2023-01-02 11:00:00,6288.0,7.515625,3.0800781,54.75,6.5
2023-01-02 12:00:00,5780.0,8.1171875,4.1210938,54.75,6.5
2023-01-02 13:00:00,-2266.0,8.78125,3.9804688,54.75,6.5
2023-01-02 14:00:00,-17680.0,9.546875,2.6289062,54.75,6.5
2023-01-02 15:00:00,-27792.0,10.0703125,1.3144531,54.75,6.5
2023-01-02 16:00:00,-37920.0,10.9296875,0.07513428,54.75,6.5
2023-01-02 17:00:00,-64704.0,10.9765625,-0.44580078,54.75,6.5
2023-01-02 18:00:00,-81088.0,10.890625,-0.5654297,54.75,6.5
2023-01-02 19:00:00,-70016.0,10.9453125,-0.86816406,54.75,6.5
2023-01-02 20:00:00,-69440.0,10.734375,-1.0751953,54.75,6.5
2023-01-02 21:00:00,-68544.0,10.3046875,-1.3339844,54.75,6.5
2023-01-02 22:00:00,-65664.0,9.796875,-1.921875,54.75,6.5
2023-01-02 23:00:00,-64192.0,9.3359375,-1.6474609,54.75,6.5
2023-01-03 00:00:00,-68032.0,9.1796875,-1.0644531,54.75,6.5
2023-01-03 01:00:00,-76992.0,9.5546875,-0.3569336,54.75,6.5
2023-01-03 02:00:00,-84672.0,9.46875,-0.05102539,54.75,6.5
2023-01-03 03:00:00,-85760.0,8.9296875,0.32543945,54.75,6.5
2023-01-03 04:00:00,-84160.0,8.15625,0.6665039,54.75,6.5
2023-01-03 05:00:00,-80192.0,7.1367188,1.0996094,54.75,6.5
2023-01-03 06:00:00,-78400.0,6.2265625,1.7724609,54.75,6.5
2023-01-03 07:00:00,-56896.0,5.65625,3.015625,54.75,6.5
2023-01-03 08:00:00,-58816.0,5.3945312,4.21875,54.75,6.5
2023-01-03 09:00:00,-62624.0,5.21875,5.390625,54.75,6.5
2023-01-03 10:00:00,-60448.0,4.6523438,6.1523438,54.75,6.5
2023-01-03 11:00:00,-50848.0,4.7578125,7.0195312,54.75,6.5
2023-01-03 12:00:00,-46976.0,3.015625,8.1875,54.75,6.5
2023-01-03 13:00:00,-64064.0,1.5761719,9.1015625,54.75,6.5
2023-01-03 14:00:00,-88000.0,1.4833984,9.921875,54.75,6.5
2023-01-03 15:00:00,-95552.0,1.8300781,10.4921875,54.75,6.5
2023-01-03 16:00:00,-75200.0,1.9570312,11.0078125,54.75,6.5
2023-01-03 17:00:00,-50144.0,1.9697266,11.4140625,54.75,6.5
2023-01-03 18:00:00,-45120.0,1.2792969,12.8984375,54.75,6.5
2023-01-03 19:00:00,-48384.0,0.59765625,13.65625,54.75,6.5
2023-01-03 20:00:00,-47840.0,0.43066406,12.7421875,54.75,6.5
2023-01-03 21:00:00,-38432.0,1.6767578,12.7265625,54.75,6.5
2023-01-03 22:00:00,-30016.0,1.5732422,12.8515625,54.75,6.5
2023-01-03 23:00:00,-10144.0,1.296875,12.8046875,54.75,6.5
2023-01-04 00:00:00,25360.0,2.4511719,13.4453125,54.75,6.5
2023-01-04 01:00:00,50016.0,3.9785156,13.40625,54.75,6.5
2023-01-04 02:00:00,66048.0,5.8242188,14.9140625,54.75,6.5
2023-01-04 03:00:00,65728.0,6.7265625,13.828125,54.75,6.5
2023-01-04 04:00:00,70016.0,8.765625,11.0078125,54.75,6.5
2023-01-04 05:00:00,111168.0,10.7578125,8.8359375,54.75,6.5
2023-01-04 06:00:00,147712.0,12.2890625,7.6445312,54.75,6.5
2023-01-04 07:00:00,168704.0,12.59375,7.6015625,54.75,6.5
2023-01-04 08:00:00,172160.0,12.0078125,7.515625,54.75,6.5
2023-01-04 09:00:00,167936.0,12.4296875,6.7148438,54.75,6.5
2023-01-04 10:00:00,179584.0,13.203125,6.0742188,54.75,6.5
2023-01-04 11:00:00,174464.0,13.09375,5.859375,54.75,6.5
2023-01-04 12:00:00,151168.0,12.84375,5.8398438,54.75,6.5
2023-01-04 13:00:00,124992.0,13.6171875,4.8554688,54.75,6.5
2023-01-04 14:00:00,133376.0,13.65625,4.1445312,54.75,6.5
2023-01-04 15:00:00,134912.0,13.4375,4.6640625,54.75,6.5
2023-01-04 16:00:00,130496.0,13.75,5.0273438,54.75,6.5
2023-01-04 17:00:00,123072.0,14.125,4.5976562,54.75,6.5
2023-01-04 18:00:00,111936.0,14.3828125,3.4902344,54.75,6.5
2023-01-04 19:00:00,118848.0,14.90625,1.4189453,54.75,6.5
2023-01-04 20:00:00,103296.0,14.2109375,-1.5507812,54.75,6.5
2023-01-04 21:00:00,73280.0,13.2109375,-2.0039062,54.75,6.5
2023-01-04 22:00:00,49536.0,13.0859375,-2.7226562,54.75,6.5
2023-01-04 23:00:00,31312.0,13.15625,-2.6835938,54.75,6.5
2023-01-05 00:00:00,22032.0,12.609375,-2.8046875,54.75,6.5
2023-01-05 01:00:00,14408.0,12.75,-2.6035156,54.75,6.5
2023-01-05 02:00:00,12224.0,12.9140625,-2.9375,54.75,6.5
2023-01-05 03:00:00,11504.0,13.015625,-3.6972656,54.75,6.5
2023-01-05 04:00:00,10544.0,12.3359375,-4.28125,54.75,6.5
2023-01-05 05:00:00,8188.0,11.7734375,-4.6914062,54.75,6.5
2023-01-05 06:00:00,4576.0,10.78125,-5.203125,54.75,6.5
2023-01-05 07:00:00,1135.0,9.4140625,-5.453125,54.75,6.5
2023-01-05 08:00:00,-4196.0,7.9726562,-5.0429688,54.75,6.5
2023-01-05 09:00:00,-6976.0,6.875,-4.1640625,54.75,6.5
2023-01-05 10:00:00,-6788.0,7.2109375,-3.1855469,54.75,6.5
2023-01-05 11:00:00,-4928.0,7.3398438,-2.3554688,54.75,6.5
2023-01-05 12:00:00,-3864.0,7.0976562,-1.5634766,54.75,6.5
2023-01-05 13:00:00,-3880.0,7.1835938,-0.65966797,54.75,6.5
2023-01-05 14:00:00,-5216.0,6.6367188,-0.074401855,54.75,6.5
2023-01-05 15:00:00,-6032.0,5.375,0.58984375,54.75,6.5
2023-01-05 16:00:00,-7632.0,4.203125,1.7949219,54.75,6.5
2023-01-05 17:00:00,-5000.0,2.3808594,3.1425781,54.75,6.5
2023-01-05 18:00:00,-2438.0,0.31591797,4.9375,54.75,6.5
2023-01-05 19:00:00,-4404.0,-0.39257812,6.4609375,54.75,6.5
2023-01-05 20:00:00,-4556.0,-0.45288086,7.3125,54.75,6.5
2023-01-05 21:00:00,-2572.0,-0.6894531,7.8828125,54.75,6.5
2023-01-05 22:00:00,-186.0,-0.117492676,9.625,54.75,6.5
2023-01-05 23:00:00,-2332.0,1.5185547,9.4921875,54.75,6.5
2023-01-06 00:00:00,23344.0,3.6640625,8.8125,54.75,6.5
2023-01-06 01:00:00,51008.0,5.1328125,9.125,54.75,6.5
2023-01-06 02:00:00,55168.0,6.8867188,9.5859375,54.75,6.5
2023-01-06 03:00:00,57664.0,7.4765625,9.9609375,54.75,6.5
2023-01-06 04:00:00,63296.0,7.5625,10.7109375,54.75,6.5
2023-01-06 05:00:00,73088.0,7.8320312,11.34375,54.75,6.5
2023-01-06 06:00:00,78912.0,9.015625,9.8671875,54.75,6.5
