,lease_5,lease_1,lease_6,lease_2,lease_3,lease_4,lease_7,Full Yield [GWh/yr],External wake efficiency [%]
0,True,True,True,True,True,True,True,4225.686851360093,0.9203014391239369
0,True,True,True,True,True,True,False,4228.923035442872,0.9210062393075316
0,True,True,True,True,True,False,True,4277.209325622786,0.9315223858904776
0,True,True,True,True,True,False,False,4290.935763017544,0.9345118312830946
0,True,True,True,True,False,True,True,4342.2900567118895,0.9456961504374796
0,True,True,True,True,False,True,False,4345.5262407946675,0.9464009506210738
0,True,True,True,True,False,False,True,4393.812530974579,0.9569170972040194
0,True,True,True,True,False,False,False,4407.538968369338,0.9599065425966367
0,True,True,True,False,True,True,True,4228.202141951732,0.9208492377736536
0,True,True,True,False,True,True,False,4231.43832603451,0.921554037957248
0,True,True,True,False,True,False,True,4279.724616214424,0.932070184540194
0,True,True,True,False,True,False,False,4293.451053609182,0.935059629932811
0,True,True,True,False,False,True,True,4352.195795709097,0.9478534957816529
0,True,True,True,False,False,True,False,4355.431979791875,0.9485582959652472
0,True,True,True,False,False,False,True,4403.718269971788,0.959074442548193
0,True,True,True,False,False,False,False,4417.444707366548,0.9620638879408104
0,True,True,False,True,True,True,True,4228.80535648947,0.9209806103118249
0,True,True,False,True,True,True,False,4232.041540572248,0.9216854104954192
0,True,True,False,True,True,False,True,4280.3278307521605,0.9322015570783652
0,True,True,False,True,True,False,False,4294.054268146917,0.9351910024709817
0,True,True,False,True,False,True,True,4349.345868172809,0.947232817414963
0,True,True,False,True,False,True,False,4352.582052255589,0.9479376175985578
0,True,True,False,True,False,False,True,4400.8683424354995,0.9584537641815031
0,True,True,False,True,False,False,False,4414.594779830258,0.9614432095741201
0,True,True,False,False,True,True,True,4231.392651471709,0.9215440906120338
0,True,True,False,False,True,True,False,4234.628835554488,0.9222488907956283
0,True,True,False,False,True,False,True,4282.9151257344,0.932765037378574
0,True,True,False,False,True,False,False,4296.641563129159,0.9357544827711911
0,True,True,False,False,False,True,True,4360.2218228898055,0.9496014635380607
0,True,True,False,False,False,True,False,4363.458006972584,0.9503062637216553
0,True,True,False,False,False,False,True,4411.744297152498,0.9608224103046012
0,True,True,False,False,False,False,False,4425.470734547254,0.9638118556972178
0,True,False,True,True,True,True,True,4238.088334820927,0.9230023262170267
0,True,False,True,True,True,True,False,4241.324518903705,0.923707126400621
0,True,False,True,True,True,False,True,4289.610809083618,0.9342232729835669
0,True,False,True,True,True,False,False,4303.337246478378,0.9372127183761844
0,True,False,True,True,False,True,True,4356.965435724935,0.9488922633773316
0,True,False,True,True,False,True,False,4360.2016198077135,0.9495970635609261
0,True,False,True,True,False,False,True,4408.487909987628,0.9601132101438723
0,True,False,True,True,False,False,False,4422.214347382385,0.9631026555364891
0,True,False,True,False,True,True,True,4240.603625412565,0.923550124866743
0,True,False,True,False,True,True,False,4243.839809495344,0.9242549250503375
0,True,False,True,False,True,False,True,4292.126099675256,0.9347710716332832
0,True,False,True,False,True,False,False,4305.852537070014,0.9377605170259002
0,True,False,True,False,False,True,True,4366.871174722145,0.9510496087215056
0,True,False,True,False,False,True,False,4370.107358804921,0.9517544089050994
0,True,False,True,False,False,False,True,4418.393648984837,0.962270555488046
0,True,False,True,False,False,False,False,4432.120086379592,0.9652600008806623
0,True,False,False,True,True,True,True,4244.7286578192015,0.9244485050339906
0,True,False,False,True,True,True,False,4247.964841901978,0.9251533052175844
0,True,False,False,True,True,False,True,4296.25113208189,0.9356694518005303
0,True,False,False,True,True,False,False,4309.9775694766495,0.9386588971931474
0,True,False,False,True,False,True,True,4368.742164658275,0.9514570867934439
0,True,False,False,True,False,True,False,4371.978348741051,0.9521618869770377
0,True,False,False,True,False,False,True,4420.264638920964,0.9626780335599836
0,True,False,False,True,False,False,False,4433.991076315723,0.9656674789526009
0,True,False,False,False,True,True,True,4247.315952801439,0.9250119853341991
0,True,False,False,False,True,True,False,4250.552136884219,0.9257167855177938
0,True,False,False,False,True,False,True,4298.83842706413,0.9362329321007392
0,True,False,False,False,True,False,False,4312.564864458887,0.939222377493356
0,True,False,False,False,False,True,True,4379.618119375272,0.9538257329165415
0,True,False,False,False,False,True,False,4382.85430345805,0.9545305331001357
0,True,False,False,False,False,False,True,4431.140593637962,0.9650466796830816
0,True,False,False,False,False,False,False,4444.867031032722,0.9680361250756988
0,False,True,True,True,True,True,True,4272.242209419277,0.9304406104652793
0,False,True,True,True,True,True,False,4275.478393502057,0.9311454106488739
0,False,True,True,True,True,False,True,4323.764683681968,0.9416615572318194
0,False,True,True,True,True,False,False,4337.491121076724,0.944651002624436
0,False,True,True,True,False,True,True,4388.845414771071,0.9558353217788212
0,False,True,True,True,False,True,False,4392.08159885385,0.9565401219624157
0,False,True,True,True,False,False,True,4440.3678890337615,0.9670562685453613
0,False,True,True,True,False,False,False,4454.094326428521,0.9700457139379786
0,False,True,True,False,True,True,True,4274.7575000109155,0.9309884091149957
