,lease_5,lease_1,lease_6,lease_2,lease_3,lease_4,lease_7,Full Yield [GWh/yr],External wake efficiency [%]
0,True,True,True,True,True,True,True,4286.4392974539405,0.8886710879342758
0,True,True,True,True,True,True,False,4318.283917214139,0.8952731627388714
